description,NCES_School_ID,Street Address,City,State,ZIP,Final,latitude,longitude
ACCAWMACKE ELEMENTARY,510006001737,P.O. Box 389,Accomac,VA,23301,P.O. Box 389 Accomac VA 23301,37.7195741,-75.6654845
ARCADIA HIGH,510006002028,PO Box 69,Oak Hall,VA,23416,PO Box 69 Oak Hall VA 23416,37.9366134,-75.5460774
ARCADIA MIDDLE,,,,,,   ,,
CHINCOTEAGUE ELEMENTARY,510006000006,6078 Hallie Whealton Smith Dr,Chincoteague,VA,23336,6078 Hallie Whealton Smith Dr Chincoteague VA 23336,37.9377851,-75.3567605
CHINCOTEAGUE HIGH,510006000007,4586 Main St,Chincoteague,VA,23336,4586 Main St Chincoteague VA 23336,37.9427316,-75.3638994
KEGOTANK ELEMENTARY,510006000009,PO Box 28,Mappsville,VA,23407,PO Box 28 Mappsville VA 23407,37.8452959,-75.5672429
METOMPKIN ELEMENTARY,510006001738,24501 Parksley Rd,Parksley,VA,23421,24501 Parksley Rd Parksley VA 23421,37.7800069,-75.645357
NANDUA HIGH,510006002003,26350 Lankford Highway,Onley,VA,23418,26350 Lankford Highway Onley VA 23418,37.6789392,-75.7257009
NANDUA MIDDLE,510006002433,20330 Warrior Dr.,Onley,VA,23418,20330 Warrior Dr. Onley VA 23418,37.6812951,-75.7257812
PUNGOTEAGUE ELEMENTARY,510006000012,28480 Bobtown Rd,Melfa,VA,23410,28480 Bobtown Rd Melfa VA 23410,37.6527808,-75.7932293
TANGIER COMBINED,510006000014,PO Box 245,Tangier,VA,23440,PO Box 245 Tangier VA 23440,37.8262373,-75.9916035
ARCADIA MIDDLE,510006002434,P. O. Box 220,Oak Hall,VA,23416,P. O. Box 220 Oak Hall VA 23416,37.9366134,-75.5460774
BADGER VOCATIONAL EDUCATION CENTER - NORTH,510006001988,PO Box 69,Oak Hall,VA,23416,PO Box 69 Oak Hall VA 23416,37.9366134,-75.5460774
BADGER VOCATIONAL EDUCATION CENTER - SOUTH,510006002004,P.O. Box 302,Onley,VA,23418,P.O. Box 302 Onley VA 23418,37.6909641,-75.7160405
AGNOR-HURT ELEMENTARY,510009000002,3201 Berkmar Drive,Charlottesville,VA,22901,3201 Berkmar Drive Charlottesville VA 22901,38.0895784,-78.4770225
ALBEMARLE HIGH,510009000015,2775 Hydraulic Road,Charlottesville,VA,22901,2775 Hydraulic Road Charlottesville VA 22901,38.0754627,-78.5014875
BAKER-BUTLER ELEM,510009001937,2740 Proffit Road,Charlottesville,VA,22911,2740 Proffit Road Charlottesville VA 22911,38.1232481,-78.4205765
BROADUS WOOD ELEMENTARY,510009000017,185 Buck Mountain Road,Earlysville,VA,22936,185 Buck Mountain Road Earlysville VA 22936,38.1623126,-78.4899342
BROWNSVILLE ELEMENTARY,510009000018,5870 Rockfish Gap Turnpike,Crozet,VA,22932,5870 Rockfish Gap Turnpike Crozet VA 22932,38.0521243,-78.7027108
COMMUNITY LAB SCHOOL,510009000030,1200 Forest Street,Charlottesville,VA,22903,1200 Forest Street Charlottesville VA 22903,38.0407261,-78.482527
CROZET ELEMENTARY,510009000020,1407 Crozet Avenue,Crozet,VA,22932,1407 Crozet Avenue Crozet VA 22932,38.07465,-78.6972618
HOLLYMEAD ELEMENTARY,510009000022,2775 Powell Creek Drive,Charlottesville,VA,22911,2775 Powell Creek Drive Charlottesville VA 22911,38.112628,-78.4391352
IVY ELEMENTARY,,,,,,   ,,
JACKSON P. BURLEY MIDDLE,510009000024,901 Rose Hill Drive,Charlottesville,VA,22903,901 Rose Hill Drive Charlottesville VA 22903,38.0399469,-78.486649
JOSEPH T. HENLEY MIDDLE,510009000025,5880 Rockfish Gap Turnpike,Crozet,VA,22932,5880 Rockfish Gap Turnpike Crozet VA 22932,38.0523261,-78.7056346
JOURNEY MIDDLE,510009000023,210 Lambs Lane,Charlottesville,VA,22901,210 Lambs Lane Charlottesville VA 22901,38.0769164,-78.5066249
LAKESIDE MIDDLE,510009000751,2801 Powell Creek Drive,Charlottesville,VA,22911,2801 Powell Creek Drive Charlottesville VA 22911,38.1124889,-78.4369144
LESLIE H. WALTON MIDDLE,510009000026,4217 Red Hill Rd,Charlottesville,VA,22903,4217 Red Hill Rd Charlottesville VA 22903,37.921355,-78.550912
MARY CARR GREER ELEMENTARY,510009000027,190 Lambs Lane,Charlottesville,VA,22901,190 Lambs Lane Charlottesville VA 22901,38.0788885,-78.5060088
MONTICELLO HIGH,510009001747,1400 Independence Way,Charlottesville,VA,22902,1400 Independence Way Charlottesville VA 22902,38.0001493,-78.4916323
MOUNTAIN VIEW ELEMENTARY,510009002173,1757 Avon Street Extended,Charlottesville,VA,22902,1757 Avon Street Extended Charlottesville VA 22902,37.9962427,-78.4991303
RED HILL ELEMENTARY,510009000029,3901 Red Hill School Road,North Garden,VA,22959,3901 Red Hill School Road North Garden VA 22959,37.9644813,-78.6351165
SCOTTSVILLE ELEMENTARY,510009001882,7868 Scottsville Road,Scottsville,VA,24590,7868 Scottsville Road Scottsville VA 24590,37.8190493,-78.5097208
STONE ROBINSON ELEMENTARY,510009000032,958 North Milton Road,Charlottesville,VA,22911,958 North Milton Road Charlottesville VA 22911,38.0109756,-78.3969438
STONY POINT ELEMENTARY,510009000033,3893 Stony Point Road,Keswick,VA,22947,3893 Stony Point Road Keswick VA 22947,38.111807,-78.3695566
VIRGINIA L. MURRAY ELEMENTARY,510009000003,3251 Morgantown Road,Charlottesville,VA,22903,3251 Morgantown Road Charlottesville VA 22903,38.0580286,-78.6124754
WESTERN ALBEMARLE HIGH,510009000035,5941 Rockfish Gap Turnpike,Crozet,VA,22932,5941 Rockfish Gap Turnpike Crozet VA 22932,38.0469516,-78.7066091
WOODBROOK ELEMENTARY,510009000036,100 Woodbrook Drive,Charlottesville,VA,22901,100 Woodbrook Drive Charlottesville VA 22901,38.0876152,-78.4646877
CENTER II,510009003118,401 McIntire Road,Charlottesville,VA,22902,401 McIntire Road Charlottesville VA 22902,38.0348973,-78.4834528
ELEMENTARY SCHOOL #1,510009003121,401 McIntire Road,Charlottesville,VA,22902,401 McIntire Road Charlottesville VA 22902,38.0348973,-78.4834528
MERIWETHER LEWIS ELEMENTARY,510009000028,1610 Owensville Road,Charlottesville,VA,22901,1610 Owensville Road Charlottesville VA 22901,38.0805626,-78.5982635
MONTICELLO GOVERNOR'S HEALTH SCIENCES ACADEMY,510009002974,1400 Independence Way,Charlottesville,VA,22902,1400 Independence Way Charlottesville VA 22902,38.0001493,-78.4916323
ALEXANDRIA CITY HIGH SCHOOL,510012000054,3330 King St,Alexandria,VA,22302,3330 King St Alexandria VA 22302,38.824119,-77.0848313
CHARLES BARRETT ELEMENTARY,510012000038,1115 Martha Custis Dr,Alexandria,VA,22302,1115 Martha Custis Dr Alexandria VA 22302,38.8421026,-77.0769974
CORA KELLY SCHOOL FOR MATH SCIENCE AND TECHNOLOGY,510012001826,3600 Commonwealth Ave,Alexandria,VA,22305,3600 Commonwealth Ave Alexandria VA 22305,38.8377994,-77.0576157
DOUGLAS MACARTHUR ELEMENTARY,510012000039,1101 Janneys Ln,Alexandria,VA,22302,1101 Janneys Ln Alexandria VA 22302,38.8151886,-77.0824381
FERDINAND T. DAY ELEMENTARY,510012003053,1701 N Beauregard Street,Alexandria,VA,22311,1701 N Beauregard Street Alexandria VA 22311,38.8320105,-77.1236177
FRANCIS C. HAMMOND MIDDLE,510012003016,4646 Seminary Road,Alexandria,VA,22304,4646 Seminary Road Alexandria VA 22304,38.8259005,-77.1122677
GEORGE MASON ELEMENTARY,510012000041,2601 Cameron Mills Rd,Alexandria,VA,22302,2601 Cameron Mills Rd Alexandria VA 22302,38.8284462,-77.0730853
GEORGE WASHINGTON MIDDLE,510012002999,1005 Mount Vernon Avenue,Alexandria,VA,22301,1005 Mount Vernon Avenue Alexandria VA 22301,38.8158603,-77.0554569
JAMES K. POLK ELEMENTARY,510012000043,5000 Polk Ave,Alexandria,VA,22304,5000 Polk Ave Alexandria VA 22304,38.8215225,-77.1160662
JEFFERSON-HOUSTON PK-8 SCHOOL,510012000044,1501 Cameron St,Alexandria,VA,22314,1501 Cameron St Alexandria VA 22314,38.808204,-77.0545575
JOHN ADAMS ELEMENTARY,510012000045,5651 Rayburn Ave,Alexandria,VA,22311,5651 Rayburn Ave Alexandria VA 22311,38.833614,-77.1257
LYLES-CROUCH ELEMENTARY,510012000047,530 S St Asaph St,Alexandria,VA,22314,530 S St Asaph St Alexandria VA 22314,38.7998158,-77.0472377
MOUNT VERNON ELEMENTARY,510012000050,2601 Commonwealth Ave,Alexandria,VA,22305,2601 Commonwealth Ave Alexandria VA 22305,38.8283226,-77.0600856
NAOMI L. BROOKS ELEMENTARY,510012000048,600 Russell Rd,Alexandria,VA,22301,600 Russell Rd Alexandria VA 22301,38.8127708,-77.0651709
PATRICK HENRY K-8 SCHOOL,510012000052,4643 Taney Ave,Alexandria,VA,22304,4643 Taney Ave Alexandria VA 22304,38.816931,-77.1116609
SAMUEL W. TUCKER ELEMENTARY,510012002549,435 Ferdinand Day Dr,Alexandria,VA,22304,435 Ferdinand Day Dr Alexandria VA 22304,38.8054839,-77.1264943
WILLIAM RAMSAY ELEMENTARY,510012000055,5700 Sanger Ave,Alexandria,VA,22311,5700 Sanger Ave Alexandria VA 22311,38.8280352,-77.131489
EARLY CHILDHOOD CENTER,510012003057,5651 Rayburn Avenue,Alexandria,VA,22311,5651 Rayburn Avenue Alexandria VA 22311,38.833614,-77.1257
GOVERNOR'S HEALTH SCIENCE ACADEMY AT T.C. WILLIAMS HIGH,510012003067,3330 King Street,Alexandria,VA,22302,3330 King Street Alexandria VA 22302,38.824119,-77.0848313
ALLEGHANY HIGH,510015201883,210 Mountaineer Drive,Covington,VA,24426,210 Mountaineer Drive Covington VA 24426,37.7889732,-79.908513
CALLAGHAN ELEMENTARY,510015201885,4050 Midland Trail,Covington,VA,24426,4050 Midland Trail Covington VA 24426,37.8132039,-80.0781558
COVINGTON MIDDLE,,,,,,   ,,
JETER-WATSON ELEMENTARY,510015200369,560 West Indian Valley Road,Covington,VA,24426,560 West Indian Valley Road Covington VA 24426,37.7535032,-79.9950577
MOUNTAIN VIEW ELEMENTARY,510015201938,100 Gleason Dr.,Covington,VA,24426,100 Gleason Dr. Covington VA 24426,37.7991557,-79.8751836
SHARON ELEMENTARY,510015201891,100 Sharon Circle,Clifton Forge,VA,24422,100 Sharon Circle Clifton Forge VA 24422,37.8077157,-79.7439065
CLIFTON MIDDLE,510015201888,100 Sharon Circle,Clifton Forge,VA,24422,100 Sharon Circle Clifton Forge VA 24422,37.8077157,-79.7439065
COVINGTON HIGH,510015200367,606 S. Lexington Avenue,Covington,VA,24426,606 S. Lexington Avenue Covington VA 24426,37.7840684,-79.9916063
AMELIA COUNTY ELEMENTARY,510018000062,8533 N Five Forks Rd,Amelia Court House,VA,23002,8533 N Five Forks Rd Amelia Court House VA 23002,37.3307871,-77.984834
AMELIA COUNTY HIGH,510018001828,8500 Otterburn Rd,Amelia Court House,VA,23002,8500 Otterburn Rd Amelia Court House VA 23002,37.331219,-77.987418
AMELIA COUNTY MIDDLE,510018000063,8740 Otterburn Road,Amelia,VA,23002,8740 Otterburn Road Amelia VA 23002,37.3343193,-77.989928
AMELON ELEMENTARY,510021000064,132 Amer Court,Madison Heights,VA,24572,132 Amer Court Madison Heights VA 24572,37.4700107,-79.11741
AMHERST COUNTY HIGH,510021000065,139 Lancer Lane,Amherst,VA,24521,139 Lancer Lane Amherst VA 24521,37.5701083,-79.0585912
AMHERST ELEMENTARY,510021000067,156 Davis St,Amherst,VA,24521,156 Davis St Amherst VA 24521,37.5875933,-79.0454811
AMHERST MIDDLE,510021000066,165 Gordons Fairground Rd,Amherst,VA,24521,165 Gordons Fairground Rd Amherst VA 24521,37.569698,-79.031646
CENTRAL ELEMENTARY,510021000068,575 Union Hill Rd,Amherst,VA,24521,575 Union Hill Rd Amherst VA 24521,37.5692982,-79.0360693
ELON ELEMENTARY,510021000069,147 Younger Dr,Madison Heights,VA,24572,147 Younger Dr Madison Heights VA 24572,37.5138246,-79.1957197
MADISON HEIGHTS ELEMENTARY,510021000010,287 Learning Lane,Madison Heights,VA,24572,287 Learning Lane Madison Heights VA 24572,37.4320939,-79.1338678
MONELISON MIDDLE,510021000072,257 Trojan Rd,Madison Heights,VA,24572,257 Trojan Rd Madison Heights VA 24572,37.4542392,-79.1130428
TEMPERANCE ELEMENTARY,510021000075,1981 Lowesville Rd,Amherst,VA,24521,1981 Lowesville Rd Amherst VA 24521,37.693179,-79.081856
APPOMATTOX COUNTY HIGH,510024000076,198 Evergreen Avenue,Appomattox,VA,24522,198 Evergreen Avenue Appomattox VA 24522,37.3447744,-78.8256996
APPOMATTOX ELEMENTARY,510024000077,176 Kids Place,Appomattox,VA,24522,176 Kids Place Appomattox VA 24522,37.3524776,-78.8381759
APPOMATTOX MIDDLE,510024000078,2020 Church St,Appomattox,VA,24522,2020 Church St Appomattox VA 24522,37.3557072,-78.8244608
APPOMATTOX PRIMARY,510024000079,185 Learning Lane,Appomattox,VA,24522,185 Learning Lane Appomattox VA 24522,37.359261,-78.833823
ABINGDON ELEMENTARY,510027000081,3035 S Abingdon St,Arlington,VA,22206,3035 S Abingdon St Arlington VA 22206,38.8396428,-77.0955668
ALICE WEST FLEET ELEMENTARY,510027000094,115 S Old Glebe Road,Arlington,VA,22204,115 S Old Glebe Road Arlington VA 22204,38.8701883,-77.0979833
ARLINGTON COMMUNITY HIGH,510027002875,800 S. Walter Reed Dr,Arlington,VA,22204,800 S. Walter Reed Dr Arlington VA 22204,38.8652722,-77.0880584
ARLINGTON SCIENCE FOCUS SCHOOL,510027003093,1501 Lincoln Street,Arlington,VA,22201,1501 Lincoln Street Arlington VA 22201,38.8901858,-77.1022205
ARLINGTON TRADITIONAL,510027000104,1030 N. MCKINLEY ROAD,Arlington,VA,22205,1030 N. MCKINLEY ROAD Arlington VA 22205,38.8788978,-77.146202
ASHLAWN ELEMENTARY,510027000082,5950 N. 8th Road,Arlington,VA,22205,5950 N. 8th Road Arlington VA 22205,38.872838,-77.1363373
BARCROFT ELEMENTARY,510027000083,625 S Wakefield St,Arlington,VA,22204,625 S Wakefield St Arlington VA 22204,38.8615774,-77.1077949
BARRETT ELEMENTARY,510027000084,4401 N Henderson Rd,Arlington,VA,22203,4401 N Henderson Rd Arlington VA 22203,38.8728428,-77.1122902
CAMPBELL ELEMENTARY,510027001940,737 S. Carlin Springs Rd.,Arlington,VA,22204,737 S. Carlin Springs Rd. Arlington VA 22204,38.8582145,-77.1258651
CARDINAL ELEMENTARY,510027000101,1644 N. McKinley Road,Arlington,VA,22205,1644 N. McKinley Road Arlington VA 22205,38.886756,-77.1419551
CARLIN SPRINGS ELEMENTARY,510027000093,5995 South 5th Road,Arlington,VA,22204,5995 South 5th Road Arlington VA 22204,38.8631093,-77.1312137
CLAREMONT IMMERSION,510027002404,4700 S. Chesterfield Rd.,Arlington,VA,22206,4700 S. Chesterfield Rd. Arlington VA 22206,38.8476993,-77.1058169
DISCOVERY ELEMENTARY,510027003006,5241 36th Street North,Arlington,VA,22207,5241 36th Street North Arlington VA 22207,38.9085337,-77.1471682
DOROTHY HAMM MIDDLE,510027003062,4100 N Vacation Lane,Arlington,VA,22207,4100 N Vacation Lane Arlington VA 22207,38.8998224,-77.1122902
DR. CHARLES R. DREW ELEMENTARY,510027000087,3500 South 23rd Street,Arlington,VA,22206,3500 South 23rd Street Arlington VA 22206,38.8485828,-77.0869184
ESCUELA KEY ELEMENTARY,510027000090,855 N. Edison Street,Arlington,VA,22205,855 N. Edison Street Arlington VA 22205,38.8797222,-77.1218534
GLEBE ELEMENTARY,510027000092,1770 N. Glebe Road,Arlington,VA,22207,1770 N. Glebe Road Arlington VA 22207,38.8926382,-77.1212804
GUNSTON MIDDLE,510027000752,2700 S Lang St,Arlington,VA,22206,2700 S Lang St Arlington VA 22206,38.8472216,-77.0710618
HOFFMAN-BOSTON ELEMENTARY,510027001900,1415 S Queen St,Arlington,VA,22204,1415 S Queen St Arlington VA 22204,38.8617261,-77.0718262
INNOVATION ELEMENTARY,,,,,,   ,,
JAMESTOWN ELEMENTARY,510027000097,3700 N Delaware St,Arlington,VA,22207,3700 N Delaware St Arlington VA 22207,38.9171087,-77.1397115
JEFFERSON MIDDLE,510027000098,125 S Old Glebe Rd,Arlington,VA,22204,125 S Old Glebe Rd Arlington VA 22204,38.870068,-77.0963533
KENMORE MIDDLE,510027000099,200 S Carlin Springs Rd,Arlington,VA,22204,200 S Carlin Springs Rd Arlington VA 22204,38.864249,-77.1317081
LONG BRANCH ELEMENTARY,510027000100,33 N Fillmore St,Arlington,VA,22201,33 N Fillmore St Arlington VA 22201,38.8750655,-77.0890925
MONTESSORI PUBLIC SCHOOL OF ARLINGTON,510027003063,701 S Highland Street,Arlington,VA,22204,701 S Highland Street Arlington VA 22204,38.8661812,-77.0893623
NOTTINGHAM ELEMENTARY,510027000102,5900 Little Falls Road,Arlington,VA,22207,5900 Little Falls Road Arlington VA 22207,38.9004648,-77.1511228
OAKRIDGE ELEMENTARY,510027000103,1414 24th St S,Arlington,VA,22202,1414 24th St S Arlington VA 22202,38.8504596,-77.0702074
RANDOLPH ELEMENTARY,510027000013,1306 S Quincy St,Arlington,VA,22204,1306 S Quincy St Arlington VA 22204,38.8566555,-77.0982642
SWANSON MIDDLE,510027000107,5800 N Washington Blvd,Arlington,VA,22205,5800 N Washington Blvd Arlington VA 22205,38.8828419,-77.139075
TAYLOR ELEMENTARY,510027000108,2600 N Stuart St,Arlington,VA,22207,2600 N Stuart St Arlington VA 22207,38.9071928,-77.1132342
TUCKAHOE ELEMENTARY,510027000110,6550 26th St N,Arlington,VA,22213,6550 26th St N Arlington VA 22213,38.8926442,-77.1594809
WAKEFIELD HIGH,510027000111,1325 S. Dinwiddie Street,Arlington,VA,22206,1325 S. Dinwiddie Street Arlington VA 22206,38.8479008,-77.1119306
WASHINGTON-LIBERTY HIGH,510027000112,1301 N Stafford St,Arlington,VA,22201,1301 N Stafford St Arlington VA 22201,38.8879295,-77.1100426
WILLIAMSBURG MIDDLE,510027000113,3600 N Harrison St,Arlington,VA,22207,3600 N Harrison St Arlington VA 22207,38.9093365,-77.1471682
YORKTOWN HIGH,510027000115,5200 Yorktown Blvd,Arlington,VA,22207,5200 Yorktown Blvd Arlington VA 22207,38.9026841,-77.1400676
EUNICE KENNEDY SHRIVER PROGRAM,510027002331,The Heights Building,Arlington,VA,22209,The Heights Building Arlington VA 22209,38.8922092,-77.070837
GOVERNOR'S ACADEMY FOR CAREER AND TECHNICAL EDUCATION IN ARL,510027003003,816 South Walter Reed Drive,Arlington,VA,22204,816 South Walter Reed Drive Arlington VA 22204,38.864454,-77.0882832
HB WOODLAWN SECONDARY PROGRAM,510027002659,1601 Wilson Blvd,Arlington,VA,22209,1601 Wilson Blvd Arlington VA 22209,38.8945612,-77.0776081
INNOVATION ELEMENTARY,510027001067,2300 Key Blvd,Arlington,VA,22201,2300 Key Blvd Arlington VA 22201,38.8923078,-77.0867545
INTEGRATION STATION,510027003068,4420 Fairfax Drive,Arlington,VA,22203,4420 Fairfax Drive Arlington VA 22203,38.8817924,-77.114403
LANGSTON HIGH CONTINUATION PROGRAM,510027002944,2121 N Culpeper St,Arlington,VA,22207,2121 N Culpeper St Arlington VA 22207,38.8959705,-77.1266741
NEW DIRECTIONS ALTERNATIVE H.S. PROGRAM,510027002860,2121 N. CULPEPER,Arlington,VA,22207,2121 N. CULPEPER Arlington VA 22207,38.8959705,-77.1266741
TECHNICAL EDUCATION & CAREER CENTER,510027000109,816 S Walter Reed Dr,Arlington,VA,22204,816 S Walter Reed Dr Arlington VA 22204,38.864454,-77.0882832
BEVERLEY MANOR MIDDLE,510030002140,58 Cedar Green Rd,Staunton,VA,24401,58 Cedar Green Rd Staunton VA 24401,38.1477213,-79.1201752
BUFFALO GAP HIGH,510030000117,1800 Buffalo Gap Hwy,Swoope,VA,24479,1800 Buffalo Gap Hwy Swoope VA 24479,38.1943599,-79.217975
CASSELL ELEMENTARY,510030000118,1301 Rockfish Rd,Waynesboro,VA,22980,1301 Rockfish Rd Waynesboro VA 22980,38.1312229,-78.8717919
CHURCHVILLE ELEMENTARY,510030000119,3710 Churchville Ave,Churchville,VA,24421,3710 Churchville Ave Churchville VA 24421,38.22249,-79.1600562
CRAIGSVILLE ELEMENTARY,510030000120,100 East First St,Craigsville,VA,24430,100 East First St Craigsville VA 24430,38.082212,-79.3807846
EDWARD G. CLYMORE ELEMENTARY,510030001080,184 Fort Defiance Rd,Fort Defiance,VA,24437,184 Fort Defiance Rd Fort Defiance VA 24437,38.2464934,-78.9764583
FORT DEFIANCE HIGH,510030000124,195 Fort Defiance Rd,Fort Defiance,VA,24437,195 Fort Defiance Rd Fort Defiance VA 24437,38.247245,-78.973246
GUY K. STUMP ELEMENTARY,510030001901,115 Draft Ave,Stuarts Draft,VA,24477,115 Draft Ave Stuarts Draft VA 24477,38.0299683,-79.0349385
NORTH RIVER ELEMENTARY,510030000127,3395 Scenic Hwy,Mount Solon,VA,22843,3395 Scenic Hwy Mount Solon VA 22843,38.3147622,-79.0790693
RIVERHEADS ELEMENTARY,510030000128,239 Don Hanger Circle,Staunton,VA,24401,239 Don Hanger Circle Staunton VA 24401,38.0364739,-79.1413595
RIVERHEADS HIGH,510030000129,19 Howardsville Rd,Staunton,VA,24401,19 Howardsville Rd Staunton VA 24401,38.0333271,-79.1400365
S. GORDON STEWART MIDDLE,510030001830,118 Fort Defiance Rd,Fort Defiance,VA,24437,118 Fort Defiance Rd Fort Defiance VA 24437,38.2447782,-78.9764912
STUARTS DRAFT ELEMENTARY,510030000131,63 School Blvd,Stuarts Draft,VA,24477,63 School Blvd Stuarts Draft VA 24477,38.0472111,-79.0080392
STUARTS DRAFT HIGH,510030000132,1028 Augusta Farm Rd,Stuarts Draft,VA,24477,1028 Augusta Farm Rd Stuarts Draft VA 24477,38.0466656,-79.0128578
STUARTS DRAFT MIDDLE,510030000130,1088 Augusta Farm Rd,Stuarts Draft,VA,24477,1088 Augusta Farm Rd Stuarts Draft VA 24477,38.045959,-79.008694
WILSON ELEMENTARY,510030000137,127 Woodrow Wilson Ave,Fishersville,VA,22939,127 Woodrow Wilson Ave Fishersville VA 22939,38.123111,-78.987863
WILSON MEMORIAL HIGH,510030000138,189 Hornet Rd,Fishersville,VA,22939,189 Hornet Rd Fishersville VA 22939,38.1214477,-78.9871188
WILSON MIDDLE,510030002435,232 Hornet Road,Fishersville,VA,22939,232 Hornet Road Fishersville VA 22939,38.1209752,-78.987812
BATH COUNTY HIGH,510033000139,464 Charger Lane,Hot Springs,VA,24445,464 Charger Lane Hot Springs VA 24445,38.0333938,-79.7951766
MILLBORO ELEMENTARY,510033000140,411 Church Street,Millboro,VA,24460,411 Church Street Millboro VA 24460,37.9775765,-79.6067803
VALLEY ELEMENTARY,510033000141,98 Panther Drive,Hot Springs,VA,24445,98 Panther Drive Hot Springs VA 24445,37.97311,-79.8522801
BEDFORD ELEMENTARY,510036002141,806 Tiger Trail Road,Bedford,VA,24523,806 Tiger Trail Road Bedford VA 24523,37.326431,-79.5358434
BEDFORD PRIMARY,510036000144,807 College St,Bedford,VA,24523,807 College St Bedford VA 24523,37.3404348,-79.5287369
BIG ISLAND ELEMENTARY,510036000145,1114 Schooldays Rd,Big Island,VA,24526,1114 Schooldays Rd Big Island VA 24526,37.531022,-79.416022
BOONSBORO ELEMENTARY,510036000147,1234 Eagle Circle,Lynchburg,VA,24503,1234 Eagle Circle Lynchburg VA 24503,37.4527888,-79.2608842
FOREST ELEMENTARY,510036002142,One Scholar Lane,Forest,VA,24551,One Scholar Lane Forest VA 24551,37.3754108,-79.3070658
FOREST MIDDLE,510036002174,100 Ashwood Dr,Forest,VA,24551,100 Ashwood Dr Forest VA 24551,37.3691372,-79.3094968
GOODVIEW ELEMENTARY,510036002526,1374 Rivermont Academy Rd,Goodview,VA,24095,1374 Rivermont Academy Rd Goodview VA 24095,37.2628099,-79.7807256
HUDDLESTON ELEMENTARY,510036000149,1027 Huddleston Drive,Huddleston,VA,24104,1027 Huddleston Drive Huddleston VA 24104,37.1640762,-79.4712894
JEFFERSON FOREST HIGH,510036002175,1 Cavalier Circle,Forest,VA,24551,1 Cavalier Circle Forest VA 24551,37.3758602,-79.3044782
LIBERTY HIGH,510036000151,100 Liberty Minutemen Dr,Bedford,VA,24523,100 Liberty Minutemen Dr Bedford VA 24523,37.3727475,-79.4971143
LIBERTY MIDDLE,510036000143,1237 Lacey Putney Way,Bedford,VA,24523,1237 Lacey Putney Way Bedford VA 24523,37.370288,-79.4930394
MONETA ELEMENTARY,510036000152,12718 Moneta Rd,Moneta,VA,24121,12718 Moneta Rd Moneta VA 24121,37.1909286,-79.6122757
MONTVALE ELEMENTARY,510036000153,One Little Patriot Dr,Montvale,VA,24122,One Little Patriot Dr Montvale VA 24122,37.374786,-79.7084953
NEW LONDON ACADEMY ELEMENTARY,510036002109,12400 E Lynchburg-Salem Trnpk,Forest,VA,24551,12400 E Lynchburg-Salem Trnpk Forest VA 24551,37.3068786,-79.3067674
OTTER RIVER ELEMENTARY,510036000155,1044 Otter River Dr,Goode,VA,24556,1044 Otter River Dr Goode VA 24556,37.364665,-79.4335119
STAUNTON RIVER HIGH,510036000156,1095 Golden Eagle Dr,Moneta,VA,24121,1095 Golden Eagle Dr Moneta VA 24121,37.2412475,-79.6227949
STAUNTON RIVER MIDDLE,510036002029,1293 Golden Eagle Drive,Moneta,VA,24121,1293 Golden Eagle Drive Moneta VA 24121,37.2411214,-79.6265239
STEWARTSVILLE ELEMENTARY,510036000157,1138 Wildcat Rd,Goodview,VA,24095,1138 Wildcat Rd Goodview VA 24095,37.2712147,-79.7904006
THOMAS JEFFERSON ELEMENTARY,510036002525,1255 Patriot Place,Forest,VA,24551,1255 Patriot Place Forest VA 24551,37.35666,-79.288392
BEDFORD COUNTY ALTERNATIVE EDUCATION CENTER,510036002961,600 Edmund Street,Bedford,VA,24523,600 Edmund Street Bedford VA 24523,37.3268139,-79.5253035
GOVERNOR'S HEALTH SCIENCES ACADEMY,510036003004,600 Edmund Street,Bedford,VA,24523,600 Edmund Street Bedford VA 24523,37.3268139,-79.5253035
SUSIE G. GIBSON SCIENCE AND TECHNOLOGY CENTER,510036000142,600 Edmund St,Bedford,VA,24523,600 Edmund St Bedford VA 24523,37.3268139,-79.5253035
BLAND COUNTY ELEMENTARY,,,,,,   ,,
BLAND COUNTY HIGH,510039003009,176 Eagles Road,Rocky Gap,VA,24366,176 Eagles Road Rocky Gap VA 24366,37.2413385,-81.1091623
BLAND COUNTY ELEMENTARY,510039003002,31 Rocket Drive,Bland,VA,24315,31 Rocket Drive Bland VA 24315,37.1028388,-81.1134894
BRECKINRIDGE ELEMENTARY,510042000166,331 Springwood Rd,Fincastle,VA,24090,331 Springwood Rd Fincastle VA 24090,37.5026624,-79.8733024
BUCHANAN ELEMENTARY,510042000167,255 Schoolhouse Rd,Buchanan,VA,24066,255 Schoolhouse Rd Buchanan VA 24066,37.5122205,-79.7040524
CENTRAL ACADEMY MIDDLE,510042000164,367 Poor Farm Rd,Fincastle,VA,24090,367 Poor Farm Rd Fincastle VA 24090,37.5075219,-79.8631959
CLOVERDALE ELEMENTARY,510042000168,833 Cougar Drive,Cloverdale,VA,24077,833 Cougar Drive Cloverdale VA 24077,37.363044,-79.9000658
COLONIAL ELEMENTARY,510042000169,142 Murray Drive,Troutville,VA,24675,142 Murray Drive Troutville VA 24675,37.3563727,-79.8456046
EAGLE ROCK ELEMENTARY,510042000170,145 Eagles Nest Dr,Eagle Rock,VA,24085,145 Eagles Nest Dr Eagle Rock VA 24085,37.6564194,-79.8113764
