description,NCES_School_ID,Street Address,City,State,ZIP,Final,latitude,longitude
FREDERICK COUNTY MIDDLE,510147000649,4661 North Frederick Pike,Winchester,VA,22603,4661 North Frederick Pike Winchester VA 22603,39.2687592,-78.2512633
GAINESBORO ELEMENTARY,510147000095,4651 N Frederick Pike,Winchester,VA,22603,4651 N Frederick Pike Winchester VA 22603,39.2694459,-78.2477926
GREENWOOD MILL ELEMENTARY,510147002808,281 Channing Drive,Winchester,VA,22602,281 Channing Drive Winchester VA 22602,39.1702969,-78.1056593
INDIAN HOLLOW ELEMENTARY,510147002121,1548 North Hayfield Rd,Winchester,VA,22603,1548 North Hayfield Rd Winchester VA 22603,39.2407661,-78.287744
JAMES WOOD HIGH,510147000652,161 Apple Pie Ridge Rd,Winchester,VA,22603,161 Apple Pie Ridge Rd Winchester VA 22603,39.2141295,-78.1830482
JAMES WOOD MIDDLE,510147000523,1313 Amherst Street,Winchester,VA,22601,1313 Amherst Street Winchester VA 22601,39.1895783,-78.1856551
JORDAN SPRINGS ELEMENTARY,510147003071,315 Flyfoot Drive,Stephenson,VA,22656,315 Flyfoot Drive Stephenson VA 22656,39.228531,-78.1024021
MIDDLETOWN ELEMENTARY,510147002149,190 Mustang Ln,Middletown,VA,22645,190 Mustang Ln Middletown VA 22645,39.0391006,-78.2598953
MILLBROOK HIGH,510147002337,251 First Woods Dr.,Winchester,VA,22603,251 First Woods Dr. Winchester VA 22603,39.1940808,-78.1127215
ORCHARD VIEW ELEMENTARY,510147002534,4275 Middle Rd,Winchester,VA,22602,4275 Middle Rd Winchester VA 22602,39.1254783,-78.2378246
REDBUD RUN ELEMENTARY,510147001381,250 First Woods Dr,Winchester,VA,22603,250 First Woods Dr Winchester VA 22603,39.1905828,-78.1127883
ROBERT E. AYLOR MIDDLE,510147000656,471 White Oak Road,White Post,VA,22663,471 White Oak Road White Post VA 22663,39.0846531,-78.1704658
SHERANDO HIGH,510147000524,185 South Warrior Drive,Stephens City,VA,22655,185 South Warrior Drive Stephens City VA 22655,39.0738905,-78.1934354
STONEWALL ELEMENTARY,510147000659,3165 Martinsburg Pike,Clear Brook,VA,22624,3165 Martinsburg Pike Clear Brook VA 22624,39.2498799,-78.1030707
HUGH MERCER ELEMENTARY,510151000660,2100 Cowan Blvd,Fredericksburg,VA,22401,2100 Cowan Blvd Fredericksburg VA 22401,38.3027643,-77.4867776
JAMES MONROE HIGH,510151000661,2300 Washington Ave,Fredericksburg,VA,22401,2300 Washington Ave Fredericksburg VA 22401,38.3111447,-77.4750371
