CENSUSTRACT_FIPS,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding,CensusTract_population,county
51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.13368040183333332,0.09376697316666667,0.128594225,0.032974662333333335,0.066578595,0.2157780616666667,0.008626369075,32742,Accomack County
51003,40.0,43.5,34.40909090909091,43.54545454545455,38.90909090909091,54.63636363636363,30.227272727272727,26.136363636363637,-0.346225805,0.14680947627272725,0.0956211659909091,0.09203828791363637,0.03197317535,0.08148457744090909,0.4079894738636364,0.029786854154545458,106355,Albemarle County
51005,48.166666666666664,67.16666666666667,36.833333333333336,66.0,46.5,28.5,28.666666666666668,36.166666666666664,-0.06975197616666667,0.18413380333333332,0.094698597,0.13903900333333333,0.049218373333333336,0.05272323633333333,0.20184859666666666,0.009067514533333333,15286,Alleghany County
51007,46.5,59.0,40.0,74.0,37.0,20.0,64.0,17.0,-0.139741368,0.13363092999999998,0.1020996745,0.16426465,0.027568646,0.032783883,0.157002485,0.0312634035,12854,Amelia County
51009,51.333333333333336,53.888888888888886,42.111111111111114,70.44444444444444,47.333333333333336,36.77777777777778,41.22222222222222,60.55555555555556,0.01772463488888887,0.13267745322222224,0.119859031,0.15997062522222225,0.07620245022222222,0.050747292444444446,0.23879737344444443,0.017473180643333332,31882,Amherst County
51011,46.2,57.6,37.0,73.0,45.2,23.8,42.4,25.8,-0.153125176,0.1358651176,0.0932910784,0.164348922,0.03255950934,0.043607553,0.172106114,0.01624369252,23425,Appomattox County
51013,38.20338983050848,27.847457627118644,32.152542372881356,24.423728813559322,61.271186440677965,70.10169491525424,45.28813559322034,20.322033898305083,-0.410551219220339,0.0680017809661017,0.0880635573559322,0.05357718036627119,0.027521928515254236,0.10956382507966102,0.5456134266779661,0.027243195449152543,231803,Arlington County
51015,34.69230769230769,41.46153846153846,28.615384615384617,59.23076923076923,41.84615384615385,31.0,18.53846153846154,33.07692307692308,-0.4827353548461538,0.09916629261538461,0.07928199330769231,0.12596468369230768,0.03871697133846153,0.04063829476923077,0.21061805,0.0056415392461538465,74701,Augusta County
51017,47.0,51.0,33.0,63.0,32.0,46.0,34.0,67.0,-0.10832996,0.11291821,0.086431228,0.12840237,0.067276888,0.027513757,0.27813905,0.010005003,4393,Bath County
51019,28.294117647058822,36.94117647058823,27.58823529411765,49.529411764705884,27.470588235294116,23.823529411764707,30.352941176470587,33.35294117647059,-0.6940758239411765,0.08924610194117646,0.07488023344117647,0.10537905323529412,0.03902407394117647,0.029540030164705883,0.17644122211764707,0.012075207488235295,77908,Bedford County
51021,33.0,38.0,29.0,42.5,41.0,23.5,47.5,72.0,-0.5121345500000001,0.0834549515,0.078452954,0.08118832849999999,0.073469862,0.042223596,0.17254549,0.0194973669,6447,Bland County
51023,26.0,39.0,21.75,41.625,41.875,18.75,20.25,33.625,-0.76572836625,0.09005472475,0.06367183125,0.082888022125,0.039591458625,0.039993879763750004,0.144624874375,0.00606822705,33222,Botetourt County
51025,56.0,58.0,45.0,83.8,61.2,36.8,13.8,57.8,0.142447772,0.15930297,0.13077501919999998,0.21807671,0.0629409582,0.0796501882,0.22643020799999997,0.0038175979999999997,16665,Brunswick County
51027,68.57142857142857,82.85714285714286,46.42857142857143,91.57142857142857,62.142857142857146,33.857142857142854,25.142857142857142,67.71428571428571,0.523562156,0.26655157,0.11521394671428573,0.29980363,0.08208848128571429,0.07208442171428572,0.2319080142857143,0.007672929171428572,22138,Buchanan County
51029,66.25,69.75,61.5,84.0,57.0,39.25,33.25,66.25,0.437030835,0.1705581175,0.1461571775,0.21844458,0.07132610575000001,0.05946092125000001,0.2466035975,0.012915264999999999,17004,Buckingham County
51031,45.583333333333336,50.083333333333336,47.666666666666664,64.5,49.666666666666664,37.25,22.583333333333332,32.916666666666664,-0.16050579150000002,0.12537418,0.1204130645,0.14269936808333333,0.03859820158333333,0.055611554416666674,0.24838185000000002,0.007350606391666667,55170,Campbell County
51033,47.714285714285715,44.57142857142857,49.857142857142854,72.42857142857143,53.857142857142854,28.857142857142858,42.57142857142857,47.714285714285715,-0.10179818271428571,0.10141718685714286,0.11875260985714285,0.17094575142857144,0.055424432571428574,0.05566434628571428,0.19830766171428574,0.02556241211428572,30184,Caroline County
51035,54.42857142857143,64.71428571428571,41.57142857142857,78.71428571428571,49.285714285714285,34.0,31.714285714285715,37.42857142857143,0.0893034172857143,0.15256824,0.10362918528571428,0.19196734714285715,0.04153933971428571,0.048022515142857145,0.22651773000000003,0.010580937357142857,29738,Carroll County
51036,48.333333333333336,58.0,21.0,83.66666666666667,60.666666666666664,21.333333333333332,32.666666666666664,42.0,-0.08461766146666666,0.13059642333333335,0.06272614133333333,0.2174795233333333,0.04620633833333334,0.062191040333333336,0.16246852333333334,0.010221144633333333,6995,Charles City County
51037,66.66666666666667,80.33333333333333,55.0,73.66666666666667,70.66666666666667,46.666666666666664,11.0,52.666666666666664,0.46405293666666675,0.22798432333333332,0.13721065400000002,0.16609634666666667,0.060496411666666666,0.08605714400000002,0.2892525733333333,0.0006176248633333333,12095,Charlotte County
